Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
6896,0.5,Fair,G,I1,64.9,57.0,5.01,4.97,3.24,727
1311,1.01,Good,D,VVS2,63.5,57.0,6.32,6.35,4.02,8943
1818,0.5,Very Good,G,VVS2,61.4,57.0,5.1,5.16,3.15,1813
12781,0.4,Premium,J,VS1,60.7,60.0,4.79,4.76,2.9,810
23878,0.5,Very Good,G,SI1,62.2,60.0,5.03,5.07,3.14,1197
8360,0.34,Premium,E,SI1,59.3,58.0,4.55,4.59,2.71,596
13202,0.35,Ideal,H,SI1,61.9,55.0,4.54,4.57,2.82,541
17059,1.74,Premium,I,VS2,58.6,59.0,7.99,7.87,4.65,12168
17822,0.31,Good,F,VS2,58.2,58.0,4.46,4.51,2.61,637
24915,0.97,Premium,D,SI1,62.0,60.0,6.25,6.29,3.89,4721
25926,2.01,Ideal,H,SI2,62.5,53.9,8.04,8.07,5.04,14998
18447,0.82,Ideal,I,SI2,61.1,57.0,6.05,6.09,3.71,2075
15758,2.3,Ideal,H,SI2,62.6,54.0,8.42,8.46,5.28,18108
2413,0.51,Premium,J,SI1,61.7,56.0,5.17,5.14,3.18,956
16387,1.57,Very Good,I,VS1,62.7,58.0,7.41,7.43,4.65,10682
15703,0.7,Very Good,F,SI1,63.5,59.0,5.59,5.65,3.57,2264
14216,1.75,Ideal,F,SI2,62.9,57.0,7.71,7.59,4.81,11113
13279,1.56,Ideal,F,VS2,62.0,55.0,7.41,7.45,4.61,17108
20544,0.32,Ideal,G,VVS2,62.2,57.0,4.38,4.36,2.72,936
22714,1.77,Premium,J,SI1,61.3,59.0,7.83,7.71,4.76,9704
18039,0.23,Very Good,F,VS1,63.2,58.0,3.89,3.86,2.45,483
6915,0.36,Very Good,I,VVS2,59.7,55.0,4.65,4.69,2.79,571
14304,1.04,Very Good,D,SI2,62.9,58.0,6.41,6.47,4.05,5265
8215,0.51,Ideal,E,SI1,62.1,55.0,5.15,5.09,3.18,1546
12332,0.26,Very Good,F,VVS1,62.0,59.0,4.08,4.15,2.55,597
